id,tenant_id,site_id,reported_by_id,title,description,incident_date,location,incident_type,severity,injury_occurred,injury_details,witnesses,root_cause,corrective_actions,preventative_measures,photo_urls,video_ids,document_urls,created_at,updated_at,is_active,status
15,1,1,14,Fall incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-04-29 07:41:40.14,South entrance,Fall,moderate,f,,,Investigation determined that the incident was caused by equipment failure,Actions taken: Equipment replaced,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
16,1,1,7,Other incident at Harvard university campus 1,Heavy equipment operator reported near-miss with pedestrian worker who entered operational zone without authorization.,2025-02-23 08:48:28.459,East stairwell,Other,minor,f,,,Investigation determined that the incident was caused by environmental factors,Actions taken: Environmental controls improved,To prevent recurrence: Enhanced monitoring process,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
17,1,1,13,Other incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-05-11 21:51:56.055,Basement level,Other,major,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
18,1,1,8,Fall incident at Harvard university campus 1,Worker received minor cut on hand while using box cutter. First aid was administered on site.,2025-05-20 01:10:49.883,West loading dock,Fall,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
19,1,1,7,Electrical incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-04-05 12:33:03.908,South entrance,Electrical,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
20,1,1,16,Equipment Failure incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-02-25 20:40:53.799,Storage room B,Equipment Failure,moderate,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
21,1,1,13,Other incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-03-10 22:09:45.527,Elevator shaft,Other,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
22,1,1,4,Fire/Explosion incident at Harvard university campus 1,Subcontractor was not wearing proper PPE while operating cutting tool.,2025-04-21 12:23:34.467,"North wing, 3rd floor",Fire/Explosion,critical,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
23,1,1,13,Chemical Spill incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-03-22 08:14:46.586,Main hallway,Chemical Spill,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
24,1,1,6,Fall incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-04-26 08:14:54.17,Main hallway,Fall,critical,f,,,Investigation determined that the incident was caused by inadequate training,Actions taken: Additional training implemented,To prevent recurrence: Regular safety training scheduled,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
25,1,1,4,Electrical incident at Harvard university campus 1,Electrical short in temporary wiring caused small fire. Fire was extinguished with nearby extinguisher. No structural damage.,2025-03-30 00:06:25.985,Storage room B,Electrical,minor,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
26,1,1,14,Slip/Trip incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-04-01 19:30:56.617,East stairwell,Slip/Trip,critical,f,,,Investigation determined that the incident was caused by inadequate training,Actions taken: Equipment replaced,To prevent recurrence: Improved signage installed,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
27,1,1,4,Caught In/Between incident at Harvard university campus 1,Worker slipped on wet floor where caution sign was not placed after mopping.,2025-04-25 09:58:38.965,Storage room B,Caught In/Between,critical,f,,,Investigation determined that the incident was caused by environmental factors,Actions taken: Additional training implemented,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
28,1,1,14,Vehicle Accident incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-03-23 09:05:56.492,Scaffolding on north face,Vehicle Accident,major,t,Worker received minor injury requiring first aid.,,Investigation determined that the incident was caused by inadequate training,Actions taken: Environmental controls improved,To prevent recurrence: Regular safety training scheduled,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
29,1,1,7,Equipment Failure incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-03-31 13:36:56.173,Elevator shaft,Equipment Failure,minor,f,,,Investigation determined that the incident was caused by equipment failure,Actions taken: Procedures updated,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
30,1,1,13,Environmental incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-03-08 00:40:04.397,"North wing, 3rd floor",Environmental,moderate,f,,,Investigation determined that the incident was caused by inadequate training,Actions taken: Additional training implemented,To prevent recurrence: Enhanced monitoring process,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
31,1,1,6,Caught In/Between incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-05-22 01:39:16.27,Scaffolding on north face,Caught In/Between,minor,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
32,1,1,6,Security incident at Harvard university campus 1,Chemical spill occurred in storage area. Approximately 2 gallons of paint thinner spilled. Area was contained and cleaned according to protocol.,2025-03-12 00:25:42.047,South entrance,Security,minor,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
33,1,1,13,Other incident at Harvard university campus 1,Electrical short in temporary wiring caused small fire. Fire was extinguished with nearby extinguisher. No structural damage.,2025-02-26 19:45:52.826,East stairwell,Other,minor,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
